iter	MultiClass
0	0.6842968499
1	0.6794008347
2	0.6720305305
3	0.6675406249
4	0.6613737554
5	0.6571687096
6	0.6516602058
7	0.647472292
8	0.6423589403
9	0.6359798896
10	0.6304348365
11	0.6279747326
12	0.6240773872
13	0.6210798055
14	0.6171811557
15	0.611899248
16	0.608644613
17	0.6056270556
18	0.6015218216
19	0.5969287102
20	0.5936813
21	0.5908464443
22	0.5869561833
23	0.5842312465
24	0.5805083473
25	0.5756115804
26	0.5717598977
27	0.5678404086
28	0.5648423813
29	0.562197574
30	0.5589822949
31	0.5563904541
32	0.5537872905
33	0.5506793368
