iter	Passed	Remaining
0	3	3772
1	7	3581
2	10	3454
3	13	3383
4	16	3342
5	19	3308
6	23	3303
7	26	3282
8	29	3272
9	33	3267
10	36	3262
11	39	3263
12	43	3267
13	46	3260
14	49	3254
15	52	3252
16	56	3246
17	59	3248
18	62	3242
19	66	3235
20	69	3231
21	72	3229
22	76	3240
23	79	3238
24	82	3235
25	86	3233
26	89	3230
27	92	3225
28	96	3222
29	99	3218
30	102	3218
31	106	3220
32	109	3218
33	113	3217
34	116	3216
35	120	3220
36	123	3218
37	127	3216
38	130	3214
39	133	3210
40	137	3206
41	140	3206
42	144	3205
43	147	3203
44	150	3200
45	154	3198
46	157	3198
47	161	3194
48	164	3191
49	167	3185
