,name,rereference,used,target,type,status,new_name
0,LFP_R_234_STN_BS,LFP_R_567_STN_BS,1,0,seeg,good,LFP_R_234_STN_BS-LFP_R_567_STN_BS
1,LFP_R_567_STN_BS,LFP_R_234_STN_BS,1,0,seeg,good,LFP_R_567_STN_BS-LFP_R_234_STN_BS
2,LFP_L_1_STN_BS,LFP_L_567_STN_BS,1,0,seeg,good,LFP_L_1_STN_BS-LFP_L_567_STN_BS
3,LFP_L_234_STN_BS,LFP_L_1_STN_BS,1,0,seeg,good,LFP_L_234_STN_BS-LFP_L_1_STN_BS
4,LFP_L_567_STN_BS,LFP_L_234_STN_BS,1,0,seeg,good,LFP_L_567_STN_BS-LFP_L_234_STN_BS
5,ECOG_L_1_SMC_AT,average,1,0,ecog,good,ECOG_L_1_SMC_AT-avgref
6,ECOG_L_2_SMC_AT,average,1,0,ecog,good,ECOG_L_2_SMC_AT-avgref
7,ECOG_L_3_SMC_AT,average,1,0,ecog,good,ECOG_L_3_SMC_AT-avgref
8,ECOG_L_4_SMC_AT,average,1,0,ecog,good,ECOG_L_4_SMC_AT-avgref
9,ECOG_L_5_SMC_AT,average,1,0,ecog,good,ECOG_L_5_SMC_AT-avgref
10,ECOG_L_6_SMC_AT,average,1,0,ecog,good,ECOG_L_6_SMC_AT-avgref
11,ANALOG_R_ROTA_CH,None,0,1,misc,good,ANALOG_R_ROTA_CH
12,EEG_AO,None,0,0,misc,good,EEG_AO
13,rota_squared,None,0,1,misc,good,rota_squared
