name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
STN_RIGHT_0	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a
STN_RIGHT_1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a
STN_RIGHT_2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a
ECOG_RIGHT_0	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a
ECOG_RIGHT_1	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a
ECOG_RIGHT_2	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a
ECOG_RIGHT_3	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a
ECOG_RIGHT_4	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a
ECOG_RIGHT_5	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a
MOV_RIGHT	MISC	µV	0.0	500.0	Miscellaneous	1000.0	good	n/a
MOV_LEFT	MISC	µV	0.0	500.0	Miscellaneous	1000.0	good	n/a
MOV_RIGHT_CLEAN	MISC	µV	0.0	500.0	Miscellaneous	1000.0	good	n/a
MOV_LEFT_CLEAN	MISC	µV	0.0	500.0	Miscellaneous	1000.0	good	n/a
