x	y	z
-32.5	-40.0	-20.0
-32.5	-40.0	-15.0
-32.5	-40.0	-10.0
-32.5	-40.0	-5.0
-32.5	-40.0	0.0
-32.5	-40.0	5.0
-32.5	-40.0	10.0
-32.5	-40.0	15.0
-32.5	-40.0	20.0
-32.5	-40.0	25.0
-32.5	-40.0	30.0
-32.5	-40.0	35.0
-32.5	-35.0	-20.0
-32.5	-35.0	-15.0
-32.5	-35.0	-10.0
-32.5	-35.0	-5.0
-32.5	-35.0	0.0
-32.5	-35.0	5.0
-32.5	-35.0	10.0
-32.5	-35.0	15.0
-32.5	-35.0	20.0
-32.5	-35.0	25.0
-32.5	-35.0	30.0
-32.5	-35.0	35.0
-32.5	-30.0	-20.0
-32.5	-30.0	-15.0
-32.5	-30.0	-10.0
-32.5	-30.0	-5.0
-32.5	-30.0	0.0
-32.5	-30.0	5.0
-32.5	-30.0	10.0
-32.5	-30.0	15.0
-32.5	-30.0	20.0
-32.5	-30.0	25.0
-32.5	-30.0	30.0
-32.5	-30.0	35.0
-32.5	-25.0	-20.0
-32.5	-25.0	-15.0
-32.5	-25.0	-10.0
-32.5	-25.0	-5.0
-32.5	-25.0	0.0
-32.5	-25.0	5.0
-32.5	-25.0	10.0
-32.5	-25.0	15.0
-32.5	-25.0	20.0
-32.5	-25.0	25.0
-32.5	-25.0	30.0
-32.5	-25.0	35.0
-32.5	-20.0	-20.0
-32.5	-20.0	-15.0
-32.5	-20.0	-10.0
-32.5	-20.0	-5.0
-32.5	-20.0	0.0
-32.5	-20.0	5.0
-32.5	-20.0	10.0
-32.5	-20.0	15.0
-32.5	-20.0	20.0
-32.5	-20.0	25.0
-32.5	-20.0	30.0
-32.5	-20.0	35.0
-32.5	-15.0	-20.0
-32.5	-15.0	-15.0
-32.5	-15.0	-10.0
-32.5	-15.0	-5.0
-32.5	-15.0	0.0
-32.5	-15.0	5.0
-32.5	-15.0	10.0
-32.5	-15.0	15.0
-32.5	-15.0	20.0
-32.5	-15.0	25.0
-32.5	-15.0	30.0
-32.5	-15.0	35.0
-32.5	-10.0	-20.0
-32.5	-10.0	-15.0
-32.5	-10.0	-10.0
-32.5	-10.0	-5.0
-32.5	-10.0	0.0
-32.5	-10.0	5.0
-32.5	-10.0	10.0
-32.5	-10.0	15.0
-32.5	-10.0	20.0
-32.5	-10.0	25.0
-32.5	-10.0	30.0
-32.5	-10.0	35.0
-32.5	-5.0	-20.0
-32.5	-5.0	-15.0
-32.5	-5.0	-10.0
-32.5	-5.0	-5.0
-32.5	-5.0	0.0
-32.5	-5.0	5.0
-32.5	-5.0	10.0
-32.5	-5.0	15.0
-32.5	-5.0	20.0
-32.5	-5.0	25.0
-32.5	-5.0	30.0
-32.5	-5.0	35.0
-32.5	0.0	-20.0
-32.5	0.0	-15.0
-32.5	0.0	-10.0
-32.5	0.0	-5.0
-32.5	0.0	0.0
-32.5	0.0	5.0
-32.5	0.0	10.0
-32.5	0.0	15.0
-32.5	0.0	20.0
