iter	MultiClass
0	0.6871221709
1	0.6820057142
2	0.6762691593
3	0.6704557792
4	0.6652274499
5	0.6598591148
6	0.653978248
7	0.6490041867
8	0.644327314
9	0.6404594507
10	0.6349322495
11	0.6308665381
12	0.6266726942
13	0.6224522826
14	0.6176823357
15	0.6134619268
16	0.6090021559
17	0.6045025268
18	0.6005887604
19	0.5957480971
20	0.5922339283
21	0.5882934416
22	0.5845893094
23	0.5803598569
24	0.5764729697
25	0.5729268119
26	0.5687912152
27	0.5648830911
28	0.5611767097
29	0.5578717234
30	0.5537834588
31	0.5500078194
32	0.5462719268
33	0.5427656579
34	0.538626358
35	0.5349349969
36	0.531222702
37	0.5282819505
38	0.5253356639
39	0.5226518906
40	0.5196905931
41	0.5163609935
42	0.5131170348
43	0.5103589936
44	0.507215571
45	0.5038098919
46	0.5001906787
47	0.4973742451
48	0.4942982878
49	0.491619173
50	0.4887348193
51	0.4856996275
52	0.4828293101
53	0.4804120705
54	0.4771983184
55	0.4744089942
56	0.4715126049
57	0.4684974611
58	0.465732119
59	0.4637685103
60	0.4612406044
61	0.4585197281
