iter	Passed	Remaining
0	48	4786
1	86	4222
2	124	4040
3	164	3952
4	204	3879
5	242	3801
6	281	3738
7	320	3688
8	361	3657
9	402	3620
10	441	3569
11	482	3541
12	524	3507
13	564	3466
14	603	3420
15	643	3379
16	686	3350
17	727	3314
18	770	3285
19	811	3245
20	852	3207
21	893	3167
22	933	3126
23	976	3093
24	1017	3052
25	1057	3010
26	1097	2968
27	1139	2930
28	1181	2893
29	1223	2854
30	1264	2814
31	1304	2772
32	1343	2728
33	1384	2686
34	1424	2646
35	1464	2604
36	1507	2566
37	1548	2526
38	1588	2484
39	1628	2442
40	1671	2405
41	1714	2368
42	1756	2328
43	1801	2292
44	1845	2255
45	1888	2216
46	1931	2178
47	1973	2138
48	2017	2099
49	2059	2059
50	2101	2019
51	2143	1978
52	2183	1936
53	2224	1895
54	2264	1853
55	2306	1812
56	2346	1770
57	2386	1728
58	2427	1686
59	2468	1645
60	2509	1604
61	2552	1564
